invoiceNumber,invoiceDate,qty,masterCode,oldCode,sku,opt1,opt2,description,unitPrice,totalPrice,length,crystalColor,color,Gauge,size,czColor,qtyInPack,bulkQuantity,height,width,itemType,ringSize,rack,packingOption
52798,08-01-24,1,BLK103,BLK103,,Length: 12mm,,Bulk body jewelry: 100 pcs. assortment of 14g (1.6mm) surgical steel tongue barbells with two 5mm balls,19,19,12mm,,,,,,,,,,,,,
52798,08-01-24,1,BLK103,BLK103,,Length: 16mm,,Bulk body jewelry: 100 pcs. assortment of 14g (1.6mm) surgical steel tongue barbells with two 5mm balls,19,19,16mm,,,,,,,,,,,,,
52798,08-01-24,2,BLK103,BLK103,,Length: 19mm,,Bulk body jewelry: 100 pcs. assortment of 14g (1.6mm) surgical steel tongue barbells with two 5mm balls,19,38,19mm,,,,,,,,,,,,,
52798,08-01-24,1,BLK103,BLK103,,Length: 22mm,,Bulk body jewelry: 100 pcs. assortment of 14g (1.6mm) surgical steel tongue barbells with two 5mm balls,19,19,22mm,,,,,,,,,,,,,
52798,08-01-24,2,BLK18A,BLK18A,,Length: 8mm,,Bulk body jewelry: 100 pcs. pack of 16g (1.2mm) surgical steel eyebrow bananas with 3mm balls,15,30,8mm,,,,,,,,,,,,,
52798,08-01-24,1,BLK18A,BLK18A,,Length: 8mm,,Bulk body jewelry: 100 pcs. pack of 16g (1.2mm) surgical steel eyebrow bananas with 3mm balls,15,15,8mm,,,,,,,,,,,,,
52798,08-01-24,2,BLK18A,BLK18A,,Length: 9mm,,Bulk body jewelry: 100 pcs. pack of 16g (1.2mm) surgical steel eyebrow bananas with 3mm balls,15,30,9mm,,,,,,,,,,,,,
52798,08-01-24,1,BLK18A,BLK18A,,Length: 9mm,,Bulk body jewelry: 100 pcs. pack of 16g (1.2mm) surgical steel eyebrow bananas with 3mm balls,15,15,9mm,,,,,,,,,,,,,
52798,08-01-24,2,BLK18A,BLK18A,,Length: 10mm,,Bulk body jewelry: 100 pcs. pack of 16g (1.2mm) surgical steel eyebrow bananas with 3mm balls,15,30,10mm,,,,,,,,,,,,,
52798,08-01-24,1,BLK18A,BLK18A,,Length: 10mm,,Bulk body jewelry: 100 pcs. pack of 16g (1.2mm) surgical steel eyebrow bananas with 3mm balls,15,15,10mm,,,,,,,,,,,,,
52798,08-01-24,2,BLK18A,BLK18A,,Length: 11mm,,Bulk body jewelry: 100 pcs. pack of 16g (1.2mm) surgical steel eyebrow bananas with 3mm balls,15,30,11mm,,,,,,,,,,,,,
52798,08-01-24,1,BLK18A,BLK18A,,Length: 11mm,,Bulk body jewelry: 100 pcs. pack of 16g (1.2mm) surgical steel eyebrow bananas with 3mm balls,15,15,11mm,,,,,,,,,,,,,
52798,08-01-24,2,BLK18A,BLK18A,,Length: 12mm,,Bulk body jewelry: 100 pcs. pack of 16g (1.2mm) surgical steel eyebrow bananas with 3mm balls,15,30,12mm,,,,,,,,,,,,,
52798,08-01-24,1,BLK18A,BLK18A,,Length: 12mm,,Bulk body jewelry: 100 pcs. pack of 16g (1.2mm) surgical steel eyebrow bananas with 3mm balls,15,15,12mm,,,,,,,,,,,,,
52798,08-01-24,2,BLK316,BLK316A,,Quantity In Bulk: 24 pcs.,Crystal Color: AB,Bulk body jewelry: 24 pcs or 100 pcs. of 4mm multi-crystal balls with 14g (1.6mm) threading and resin cover. Price as low as 1.34$ per pcs.,33.97,67.94,,AB,,,,,,24 pcs.,,,,,,
52798,08-01-24,1,BLK316,BLK316A,,Quantity In Bulk: 24 pcs.,Crystal Color: Rose,Bulk body jewelry: 24 pcs or 100 pcs. of 4mm multi-crystal balls with 14g (1.6mm) threading and resin cover. Price as low as 1.34$ per pcs.,33.97,33.97,,Rose,,,,,,24 pcs.,,,,,,
